Year,Name,Cat,Start_date,End_date
2006,ALBERTO,TS,2006-06-10T06,2006-06-19T06
2006,BERYL,TS,2006-07-18T12,2006-07-22T12
2006,CHRIS,TS,2006-08-01T00,2006-08-06T12
2006,DEBBY,TS,2006-08-21T18,2006-08-28T00
2006,ERNESTO,TS,2006-08-24T18,2006-09-04T06
2006,FLORENCE,Cat1,2006-09-03T18,2006-09-19T00
2006,GORDON,Cat2,2006-09-10T18,2006-09-24T18
2006,HELENE,Cat2,2006-09-12T12,2006-09-27T18
2006,ISAAC,Cat1,2006-09-27T18,2006-10-03T12
2007,ANDREA,TS,2007-05-06T12,2007-05-14T00
2007,BARRY,TS,2007-05-31T00,2007-06-05T12
2007,CHANTAL,TS,2007-07-31T00,2007-08-05T12
2007,DEAN,Cat4,2007-08-13T06,2007-08-23T00
2007,ERIN,TS,2007-08-15T00,2007-08-19T18
2007,FELIX,Cat4,2007-08-31T12,2007-09-06T18
2007,GABRIELLE,TS,2007-09-08T00,2007-09-11T06
2007,INGRID,TS,2007-09-12T06,2007-09-18T12
2007,HUMBERTO,Cat1,2007-09-12T06,2007-09-14T12
2007,TEN,TD,2007-09-21T12,2007-09-22T06
2007,JERRY,TD,2007-09-23T00,2007-09-24T18
2007,KAREN,TS,2007-09-25T00,2007-09-29T12
2007,LORENZO,TS,2007-09-25T18,2007-09-28T18
2007,MELISSA,TD,2007-09-28T06,2007-10-05T18
2007,FIFTEEN,TS,2007-10-11T12,2007-10-17T18
2007,NOEL,Cat1,2007-10-24T00,2007-11-06T00
2007,OLGA,TS,2007-12-10T12,2007-12-16T06
2008,ARTHUR,TS,2008-05-31T00,2008-06-02T00
2008,BERTHA,Cat2,2008-07-03T06,2008-07-21T06
2008,CRISTOBAL,TS,2008-07-19T00,2008-07-23T06
2008,DOLLY,Cat1,2008-07-20T12,2008-07-27T00
2008,EDOUARD,TS,2008-08-03T12,2008-08-06T18
2008,FAY,TS,2008-08-15T12,2008-08-28T06
2008,GUSTAV,Cat4,2008-08-25T00,2008-09-05T12
2008,HANNA,Cat1,2008-08-28T00,2008-09-08T12
2008,IKE,Cat3,2008-09-01T06,2008-09-15T12
2008,JOSEPHINE,TS,2008-09-02T00,2008-09-10T00
2008,KYLE,Cat1,2008-09-25T00,2008-09-30T12
2008,LAURA,TS,2008-09-26T00,2008-10-04T06
2008,MARCO,TS,2008-10-06T00,2008-10-07T18
2008,NANA,TD,2008-10-12T06,2008-10-15T12
2008,OMAR,Cat3,2008-10-13T06,2008-10-21T00
2008,SIXTEEN,TD,2008-10-14T12,2008-10-16T00
2008,PALOMA,Cat3,2008-11-05T18,2008-11-14T06
2009,ONE,TD,2009-05-26T18,2009-05-30T06
2009,ANA,TD,2009-08-10T06,2009-08-16T12
2009,BILL,Cat3,2009-08-15T06,2009-08-26T00
2009,CLAUDETTE,TS,2009-08-16T06,2009-08-17T18
2009,DANNY,TS,2009-08-26T09,2009-08-29T00
2009,ERIKA,TS,2009-09-01T18,2009-09-04T06
2009,FRED,Cat2,2009-09-07T18,2009-09-19T12
2009,EIGHT,TD,2009-09-25T06,2009-09-26T18
2009,GRACE,TS,2009-09-27T18,2009-10-06T18
2009,HENRI,TS,2009-10-06T00,2009-10-11T12
2009,IDA,Cat1,2009-11-04T06,2009-11-11T06
2010,ALEX,Cat1,2010-06-24T18,2010-07-02T00
2010,TWO,TD,2010-07-07T06,2010-07-10T00
2010,BONNIE,TS,2010-07-22T06,2010-07-25T18
2010,COLIN,TS,2010-08-02T12,2010-08-08T06
2010,FIVE,TD,2010-08-10T06,2010-08-18T00
2010,DANIELLE,Cat3,2010-08-21T12,2010-09-03T00
2010,EARL,Cat3,2010-08-24T00,2010-09-06T00
2010,FIONA,TS,2010-08-30T00,2010-09-04T18
2010,GASTON,TD,2010-09-01T00,2010-09-08T06
2010,HERMINE,TS,2010-09-04T18,2010-09-10T00
2010,IGOR,Cat4,2010-09-08T06,2010-09-23T00
2010,JULIA,Cat3,2010-09-12T06,2010-09-24T18
2010,KARL,Cat2,2010-09-13T18,2010-09-18T06
2010,LISA,Cat1,2010-09-20T00,2010-09-29T00
2010,MATTHEW,TS,2010-09-23T12,2010-09-26T18
2010,NICOLE,TS,2010-09-28T00,2010-09-30T12
2010,OTTO,Cat1,2010-10-06T06,2010-10-17T18
2010,PAULA,Cat1,2010-10-11T00,2010-10-15T18
2010,RICHARD,Cat1,2010-10-19T18,2010-10-26T12
2010,SHARY,TS,2010-10-28T18,2010-10-30T18
2010,TOMAS,Cat1,2010-10-29T06,2010-11-10T18
2011,ARLENE,TS,2011-06-28T06,2011-07-01T00
2011,BRET,TS,2011-07-16T06,2011-07-23T06
2011,CINDY,TS,2011-07-20T06,2011-07-23T06
2011,DON,TS,2011-07-27T06,2011-07-30T06
2011,EMILY,TS,2011-08-02T00,2011-08-07T18
2011,FRANKLIN,TS,2011-08-12T12,2011-08-16T00
